Order ID,Customer ID,Customer Email,Order Time,Delivery Time,Delivery Address,Customer Availability,Delivery Status,Traffic Condition,Weather Condition
1001,C052,customerC052@gmail.com,44:42.5,44:42.5,"528 Main St, City, Country",5:00-7:00,Success,Low,Sunny
1002,C093,customerC093@gmail.com,44:42.5,44:42.5,"329 Oak St, City, Country",16:00-18:00,Failed,Medium,Sunny
1003,C015,customerC015@gmail.com,44:42.5,44:42.5,"822 Main St, City, Country",23:00-26:00,Success,Low,Sunny
1004,C072,customerC072@gmail.com,44:42.5,44:42.5,"100 Maple St, City, Country",3:00-6:00,Success,High,Rainy
1005,C061,customerC061@gmail.com,44:42.5,44:42.5,"855 Maple St, City, Country",7:00-10:00,Success,Low,Cloudy
1006,C021,customerC021@gmail.com,44:42.5,44:42.5,"749 Elm St, City, Country",22:00-26:00,Success,Low,Cloudy
1007,C083,customerC083@gmail.com,44:42.5,44:42.5,"905 Pine St, City, Country",5:00-9:00,Success,Low,Sunny
1008,C087,customerC087@gmail.com,44:42.5,44:42.5,"274 Oak St, City, Country",25:00-28:00,Success,Low,Sunny
1009,C075,customerC075@gmail.com,44:42.5,44:42.5,"28 Pine St, City, Country",5:00-8:00,Success,High,Sunny
1010,C075,customerC075@gmail.com,44:42.5,44:42.5,"940 Maple St, City, Country",19:00-22:00,Success,Medium,Sunny
1011,C088,customerC088@gmail.com,44:42.5,44:42.5,"540 Main St, City, Country",2:00-4:00,Success,Medium,Sunny
1012,C024,customerC024@gmail.com,44:42.5,44:42.5,"356 Maple St, City, Country",21:00-23:00,Failed,Low,Rainy
1013,C003,customerC003@gmail.com,44:42.5,44:42.5,"252 Oak St, City, Country",25:00-28:00,Success,Low,Sunny
1014,C022,customerC022@gmail.com,44:42.5,44:42.5,"227 Maple St, City, Country",23:00-25:00,Success,Low,Sunny
1015,C053,customerC053@gmail.com,44:42.5,44:42.5,"313 Main St, City, Country",8:00-12:00,Success,Low,Sunny
1016,C002,customerC002@gmail.com,44:42.5,44:42.5,"118 Elm St, City, Country",18:00-20:00,Success,Low,Rainy
1017,C088,customerC088@gmail.com,44:42.5,44:42.5,"565 Pine St, City, Country",13:00-16:00,Success,Medium,Sunny
1018,C030,customerC030@gmail.com,44:42.5,44:42.5,"815 Maple St, City, Country",6:00-9:00,Success,Low,Sunny
1019,C038,customerC038@gmail.com,44:42.5,44:42.5,"586 Maple St, City, Country",5:00-7:00,Success,Medium,Rainy
1020,C002,customerC002@gmail.com,44:42.5,44:42.5,"677 Elm St, City, Country",10:00-13:00,Success,Low,Sunny
1021,C064,customerC064@gmail.com,44:42.5,44:42.5,"982 Main St, City, Country",2:00-5:00,Success,Low,Sunny
1022,C060,customerC060@gmail.com,44:42.5,44:42.5,"868 Elm St, City, Country",18:00-20:00,Success,Medium,Sunny
1023,C021,customerC021@gmail.com,44:42.5,44:42.5,"675 Main St, City, Country",10:00-12:00,Success,Low,Sunny
1024,C033,customerC033@gmail.com,44:42.5,44:42.5,"387 Main St, City, Country",16:00-19:00,Success,Medium,Cloudy
1025,C076,customerC076@gmail.com,44:42.5,44:42.5,"780 Pine St, City, Country",23:00-25:00,Success,Medium,Cloudy
1026,C058,customerC058@gmail.com,44:42.5,44:42.5,"536 Maple St, City, Country",7:00-9:00,Success,Low,Sunny
1027,C022,customerC022@gmail.com,44:42.5,44:42.5,"171 Main St, City, Country",10:00-12:00,Success,High,Sunny
1028,C089,customerC089@gmail.com,44:42.5,44:42.5,"740 Elm St, City, Country",4:00-7:00,Success,Low,Sunny
1029,C049,customerC049@gmail.com,44:42.5,44:42.5,"188 Elm St, City, Country",12:00-15:00,Success,Low,Sunny
1030,C091,customerC091@gmail.com,44:42.5,44:42.5,"230 Main St, City, Country",14:00-17:00,Success,Medium,Sunny
1031,C059,customerC059@gmail.com,44:42.5,44:42.5,"852 Pine St, City, Country",14:00-18:00,Success,Low,Sunny
1032,C042,customerC042@gmail.com,44:42.5,44:42.5,"784 Main St, City, Country",24:00-27:00,Success,Medium,Sunny
1033,C092,customerC092@gmail.com,44:42.5,44:42.5,"104 Pine St, City, Country",24:00-27:00,Success,Medium,Cloudy
1034,C060,customerC060@gmail.com,44:42.5,44:42.5,"698 Pine St, City, Country",17:00-21:00,Success,High,Sunny
1035,C080,customerC080@gmail.com,44:42.5,44:42.5,"795 Maple St, City, Country",3:00-6:00,Success,Low,Sunny
1036,C015,customerC015@gmail.com,44:42.5,44:42.5,"682 Oak St, City, Country",11:00-14:00,Success,Low,Sunny
1037,C062,customerC062@gmail.com,44:42.5,44:42.5,"175 Main St, City, Country",18:00-22:00,Success,Medium,Cloudy
1038,C062,customerC062@gmail.com,44:42.5,44:42.5,"674 Maple St, City, Country",6:00-9:00,Success,Low,Sunny
1039,C047,customerC047@gmail.com,44:42.5,44:42.5,"134 Maple St, City, Country",17:00-19:00,Success,Low,Sunny
1040,C062,customerC062@gmail.com,44:42.5,44:42.5,"665 Main St, City, Country",16:00-18:00,Success,Low,Sunny
1041,C051,customerC051@gmail.com,44:42.5,44:42.5,"55 Elm St, City, Country",2:00-5:00,Success,Low,Cloudy
1042,C055,customerC055@gmail.com,44:42.5,44:42.5,"519 Pine St, City, Country",3:00-7:00,Success,Low,Sunny
1043,C064,customerC064@gmail.com,44:42.5,44:42.5,"825 Pine St, City, Country",20:00-23:00,Success,Medium,Cloudy
1044,C003,customerC003@gmail.com,44:42.5,44:42.5,"528 Oak St, City, Country",19:00-22:00,Failed,Medium,Rainy
1045,C051,customerC051@gmail.com,44:42.5,44:42.5,"373 Pine St, City, Country",13:00-17:00,Success,Low,Cloudy
1046,C007,customerC007@gmail.com,44:42.5,44:42.5,"973 Pine St, City, Country",22:00-26:00,Failed,Low,Sunny
1047,C021,customerC021@gmail.com,44:42.5,44:42.5,"623 Oak St, City, Country",2:00-5:00,Success,Low,Sunny
1048,C073,customerC073@gmail.com,44:42.5,44:42.5,"457 Oak St, City, Country",24:00-26:00,Success,Medium,Sunny
1049,C039,customerC039@gmail.com,44:42.5,44:42.5,"776 Main St, City, Country",17:00-19:00,Success,Low,Rainy
1050,C018,customerC018@gmail.com,44:42.5,44:42.5,"983 Main St, City, Country",15:00-17:00,Success,Medium,Sunny
1051,C004,customerC004@gmail.com,44:42.5,44:42.5,"504 Maple St, City, Country",4:00-8:00,Success,Low,Sunny
1052,C089,customerC089@gmail.com,44:42.5,44:42.5,"214 Oak St, City, Country",20:00-23:00,Success,Medium,Sunny
1053,C060,customerC060@gmail.com,44:42.5,44:42.5,"644 Oak St, City, Country",16:00-20:00,Success,Low,Sunny
1054,C014,customerC014@gmail.com,44:42.5,44:42.5,"925 Main St, City, Country",2:00-4:00,Success,Medium,Sunny
1055,C009,customerC009@gmail.com,44:42.5,44:42.5,"157 Elm St, City, Country",21:00-23:00,Success,Low,Sunny
1056,C090,customerC090@gmail.com,44:42.5,44:42.5,"226 Pine St, City, Country",21:00-23:00,Success,Medium,Sunny
1057,C053,customerC053@gmail.com,44:42.5,44:42.5,"205 Pine St, City, Country",19:00-23:00,Success,Low,Cloudy
1058,C002,customerC002@gmail.com,44:42.5,44:42.5,"471 Pine St, City, Country",14:00-18:00,Success,Medium,Sunny
1059,C084,customerC084@gmail.com,44:42.5,44:42.5,"218 Pine St, City, Country",2:00-4:00,Failed,Medium,Sunny
1060,C092,customerC092@gmail.com,44:42.5,44:42.5,"602 Main St, City, Country",24:00-26:00,Success,Low,Sunny
1061,C060,customerC060@gmail.com,44:42.5,44:42.5,"631 Maple St, City, Country",9:00-12:00,Failed,Medium,Sunny
1062,C071,customerC071@gmail.com,44:42.5,44:42.5,"824 Pine St, City, Country",14:00-17:00,Success,Low,Cloudy
1063,C044,customerC044@gmail.com,44:42.5,44:42.5,"434 Oak St, City, Country",24:00-27:00,Success,Low,Sunny
1064,C008,customerC008@gmail.com,44:42.5,44:42.5,"143 Pine St, City, Country",15:00-19:00,Success,Low,Sunny
1065,C047,customerC047@gmail.com,44:42.5,44:42.5,"278 Main St, City, Country",11:00-13:00,Success,Low,Sunny
1066,C035,customerC035@gmail.com,44:42.5,44:42.5,"529 Oak St, City, Country",21:00-24:00,Success,Medium,Rainy
1067,C078,customerC078@gmail.com,44:42.5,44:42.5,"90 Pine St, City, Country",21:00-24:00,Success,Medium,Sunny
1068,C081,customerC081@gmail.com,44:42.5,44:42.5,"199 Elm St, City, Country",10:00-13:00,Success,Low,Cloudy
1069,C036,customerC036@gmail.com,44:42.5,44:42.5,"441 Elm St, City, Country",22:00-26:00,Success,Low,Sunny
1070,C050,customerC050@gmail.com,44:42.5,44:42.5,"25 Elm St, City, Country",6:00-9:00,Success,Medium,Sunny
1071,C004,customerC004@gmail.com,44:42.5,44:42.5,"507 Maple St, City, Country",4:00-6:00,Success,High,Sunny
1072,C002,customerC002@gmail.com,44:42.5,44:42.5,"339 Oak St, City, Country",11:00-14:00,Success,Low,Cloudy
1073,C006,customerC006@gmail.com,44:42.5,44:42.5,"461 Maple St, City, Country",13:00-17:00,Success,High,Sunny
1074,C054,customerC054@gmail.com,44:42.5,44:42.5,"456 Pine St, City, Country",2:00-5:00,Success,Low,Rainy
1075,C004,customerC004@gmail.com,44:42.5,44:42.5,"863 Pine St, City, Country",7:00-10:00,Success,Low,Sunny
1076,C054,customerC054@gmail.com,44:42.5,44:42.5,"971 Oak St, City, Country",21:00-23:00,Success,Medium,Sunny
1077,C093,customerC093@gmail.com,44:42.5,44:42.5,"833 Main St, City, Country",22:00-24:00,Success,Low,Sunny
1078,C063,customerC063@gmail.com,44:42.5,44:42.5,"687 Pine St, City, Country",23:00-26:00,Success,Low,Cloudy
1079,C018,customerC018@gmail.com,44:42.5,44:42.5,"102 Pine St, City, Country",1:00-4:00,Success,Low,Sunny
1080,C090,customerC090@gmail.com,44:42.5,44:42.5,"569 Main St, City, Country",9:00-12:00,Success,Medium,Cloudy
1081,C044,customerC044@gmail.com,44:42.5,44:42.5,"686 Elm St, City, Country",19:00-22:00,Success,Medium,Rainy
1082,C034,customerC034@gmail.com,44:42.5,44:42.5,"794 Main St, City, Country",13:00-16:00,Failed,Low,Rainy
1083,C074,customerC074@gmail.com,44:42.5,44:42.5,"882 Maple St, City, Country",4:00-6:00,Failed,Low,Sunny
1084,C062,customerC062@gmail.com,44:42.5,44:42.5,"596 Pine St, City, Country",22:00-24:00,Success,Low,Sunny
1085,C014,customerC014@gmail.com,44:42.5,44:42.5,"361 Oak St, City, Country",25:00-28:00,Success,Low,Cloudy
1086,C095,customerC095@gmail.com,44:42.5,44:42.5,"248 Main St, City, Country",23:00-26:00,Success,Low,Sunny
1087,C048,customerC048@gmail.com,44:42.5,44:42.5,"946 Oak St, City, Country",4:00-6:00,Success,Medium,Sunny
1088,C015,customerC015@gmail.com,44:42.5,44:42.5,"738 Maple St, City, Country",24:00-26:00,Success,Low,Sunny
1089,C072,customerC072@gmail.com,44:42.5,44:42.5,"122 Maple St, City, Country",6:00-9:00,Success,Low,Sunny
1090,C078,customerC078@gmail.com,44:42.5,44:42.5,"558 Maple St, City, Country",24:00-27:00,Failed,Low,Sunny
1091,C087,customerC087@gmail.com,44:42.5,44:42.5,"390 Elm St, City, Country",2:00-5:00,Success,Low,Sunny
1092,C062,customerC062@gmail.com,44:42.5,44:42.5,"590 Elm St, City, Country",24:00-26:00,Success,High,Sunny
1093,C040,customerC040@gmail.com,44:42.5,44:42.5,"302 Maple St, City, Country",19:00-21:00,Success,Low,Sunny
1094,C085,customerC085@gmail.com,44:42.5,44:42.5,"223 Oak St, City, Country",6:00-10:00,Success,Low,Sunny
1095,C080,customerC080@gmail.com,44:42.5,44:42.5,"990 Maple St, City, Country",16:00-18:00,Success,Low,Sunny
1096,C082,customerC082@gmail.com,44:42.5,44:42.5,"520 Pine St, City, Country",25:00-28:00,Failed,Low,Sunny
1097,C053,customerC053@gmail.com,44:42.5,44:42.5,"493 Oak St, City, Country",5:00-8:00,Success,Low,Sunny
1098,C024,customerC024@gmail.com,44:42.5,44:42.5,"620 Main St, City, Country",5:00-8:00,Success,Low,Sunny
1099,C026,customerC026@gmail.com,44:42.5,44:42.5,"721 Oak St, City, Country",21:00-24:00,Success,Low,Sunny
1100,C089,customerC089@gmail.com,44:42.5,44:42.5,"333 Elm St, City, Country",13:00-17:00,Success,Low,Sunny
1101,C060,customerC060@gmail.com,44:42.5,44:42.5,"523 Pine St, City, Country",16:00-20:00,Success,Low,Cloudy
1102,C041,customerC041@gmail.com,44:42.5,44:42.5,"492 Main St, City, Country",3:00-6:00,Success,Low,Sunny
1103,C029,customerC029@gmail.com,44:42.5,44:42.5,"272 Pine St, City, Country",10:00-12:00,Success,High,Cloudy
1104,C015,customerC015@gmail.com,44:42.5,44:42.5,"867 Pine St, City, Country",24:00-28:00,Success,Low,Sunny
1105,C045,customerC045@gmail.com,44:42.5,44:42.5,"560 Oak St, City, Country",17:00-21:00,Success,Low,Sunny
1106,C065,customerC065@gmail.com,44:42.5,44:42.5,"90 Main St, City, Country",24:00-26:00,Success,Low,Sunny
1107,C089,customerC089@gmail.com,44:42.5,44:42.5,"332 Oak St, City, Country",17:00-21:00,Success,Low,Sunny
1108,C071,customerC071@gmail.com,44:42.5,44:42.5,"357 Main St, City, Country",21:00-23:00,Success,Medium,Sunny
1109,C009,customerC009@gmail.com,44:42.5,44:42.5,"274 Oak St, City, Country",23:00-25:00,Success,Low,Sunny
1110,C088,customerC088@gmail.com,44:42.5,44:42.5,"983 Elm St, City, Country",6:00-9:00,Success,Medium,Sunny
1111,C001,customerC001@gmail.com,44:42.5,44:42.5,"154 Pine St, City, Country",14:00-17:00,Success,Low,Sunny
1112,C008,customerC008@gmail.com,44:42.5,44:42.5,"620 Oak St, City, Country",16:00-20:00,Success,Low,Sunny
1113,C088,customerC088@gmail.com,44:42.5,44:42.5,"797 Oak St, City, Country",16:00-19:00,Success,Medium,Rainy
1114,C063,customerC063@gmail.com,44:42.5,44:42.5,"125 Elm St, City, Country",11:00-13:00,Success,Low,Sunny
1115,C011,customerC011@gmail.com,44:42.5,44:42.5,"273 Oak St, City, Country",4:00-7:00,Success,Low,Sunny
1116,C081,customerC081@gmail.com,44:42.5,44:42.5,"811 Maple St, City, Country",21:00-23:00,Success,Low,Sunny
1117,C008,customerC008@gmail.com,44:42.5,44:42.5,"848 Elm St, City, Country",18:00-21:00,Success,Medium,Sunny
1118,C035,customerC035@gmail.com,44:42.5,44:42.5,"930 Maple St, City, Country",16:00-20:00,Success,Low,Cloudy
1119,C035,customerC035@gmail.com,44:42.5,44:42.5,"362 Pine St, City, Country",13:00-15:00,Success,Medium,Sunny
1120,C033,customerC033@gmail.com,44:42.5,44:42.5,"495 Main St, City, Country",24:00-27:00,Success,Low,Sunny
1121,C005,customerC005@gmail.com,44:42.5,44:42.5,"427 Main St, City, Country",24:00-26:00,Success,Medium,Cloudy
1122,C041,customerC041@gmail.com,44:42.5,44:42.5,"187 Pine St, City, Country",19:00-22:00,Success,Low,Sunny
1123,C028,customerC028@gmail.com,44:42.5,44:42.5,"600 Elm St, City, Country",19:00-22:00,Success,Medium,Sunny
1124,C007,customerC007@gmail.com,44:42.5,44:42.5,"854 Maple St, City, Country",10:00-13:00,Success,Low,Rainy
1125,C073,customerC073@gmail.com,44:42.5,44:42.5,"86 Pine St, City, Country",15:00-18:00,Success,High,Sunny
1126,C072,customerC072@gmail.com,44:42.5,44:42.5,"137 Maple St, City, Country",19:00-23:00,Success,Low,Sunny
1127,C012,customerC012@gmail.com,44:42.5,44:42.5,"74 Pine St, City, Country",17:00-20:00,Success,Low,Sunny
1128,C034,customerC034@gmail.com,44:42.5,44:42.5,"613 Pine St, City, Country",4:00-7:00,Success,Low,Sunny
1129,C033,customerC033@gmail.com,44:42.5,44:42.5,"512 Pine St, City, Country",23:00-26:00,Success,Low,Sunny
1130,C048,customerC048@gmail.com,44:42.5,44:42.5,"938 Oak St, City, Country",15:00-17:00,Success,Low,Cloudy
1131,C023,customerC023@gmail.com,44:42.5,44:42.5,"981 Elm St, City, Country",7:00-10:00,Failed,High,Sunny
1132,C062,customerC062@gmail.com,44:42.5,44:42.5,"764 Elm St, City, Country",3:00-6:00,Failed,High,Cloudy
1133,C088,customerC088@gmail.com,44:42.5,44:42.5,"567 Oak St, City, Country",6:00-8:00,Success,Low,Rainy
1134,C037,customerC037@gmail.com,44:42.5,44:42.5,"790 Maple St, City, Country",21:00-24:00,Success,High,Sunny
1135,C099,customerC099@gmail.com,44:42.5,44:42.5,"155 Main St, City, Country",8:00-10:00,Success,Low,Sunny
1136,C044,customerC044@gmail.com,44:42.5,44:42.5,"349 Oak St, City, Country",20:00-23:00,Success,Low,Sunny
1137,C086,customerC086@gmail.com,44:42.5,44:42.5,"876 Maple St, City, Country",20:00-23:00,Success,Medium,Rainy
1138,C091,customerC091@gmail.com,44:42.5,44:42.5,"173 Elm St, City, Country",9:00-12:00,Success,Medium,Cloudy
1139,C035,customerC035@gmail.com,44:42.5,44:42.5,"740 Main St, City, Country",8:00-11:00,Success,High,Sunny
1140,C065,customerC065@gmail.com,44:42.5,44:42.5,"438 Oak St, City, Country",20:00-23:00,Success,Low,Sunny
1141,C099,customerC099@gmail.com,44:42.5,44:42.5,"546 Oak St, City, Country",9:00-11:00,Success,Medium,Sunny
1142,C047,customerC047@gmail.com,44:42.5,44:42.5,"129 Main St, City, Country",18:00-21:00,Success,Low,Rainy
1143,C078,customerC078@gmail.com,44:42.5,44:42.5,"605 Main St, City, Country",3:00-5:00,Failed,Low,Sunny
1144,C003,customerC003@gmail.com,44:42.5,44:42.5,"835 Pine St, City, Country",11:00-13:00,Success,Low,Sunny
1145,C001,customerC001@gmail.com,44:42.5,44:42.5,"404 Maple St, City, Country",3:00-6:00,Success,High,Cloudy
1146,C005,customerC005@gmail.com,44:42.5,44:42.5,"606 Oak St, City, Country",11:00-15:00,Failed,Medium,Sunny
1147,C090,customerC090@gmail.com,44:42.5,44:42.5,"611 Main St, City, Country",16:00-19:00,Success,Medium,Sunny
1148,C014,customerC014@gmail.com,44:42.5,44:42.5,"359 Oak St, City, Country",10:00-13:00,Success,Low,Sunny
1149,C027,customerC027@gmail.com,44:42.5,44:42.5,"858 Main St, City, Country",5:00-8:00,Success,Low,Sunny
1150,C009,customerC009@gmail.com,44:42.5,44:42.5,"274 Maple St, City, Country",21:00-24:00,Success,Low,Sunny
1151,C079,customerC079@gmail.com,44:42.5,44:42.5,"116 Maple St, City, Country",23:00-25:00,Success,Low,Rainy
1152,C015,customerC015@gmail.com,44:42.5,44:42.5,"980 Maple St, City, Country",4:00-8:00,Success,Low,Sunny
1153,C090,customerC090@gmail.com,44:42.5,44:42.5,"91 Elm St, City, Country",11:00-14:00,Success,Medium,Sunny
1154,C042,customerC042@gmail.com,44:42.5,44:42.5,"324 Main St, City, Country",18:00-20:00,Success,Low,Sunny
1155,C077,customerC077@gmail.com,44:42.5,44:42.5,"114 Main St, City, Country",11:00-13:00,Success,Low,Sunny
1156,C051,customerC051@gmail.com,44:42.5,44:42.5,"58 Elm St, City, Country",12:00-14:00,Failed,Low,Sunny
1157,C063,customerC063@gmail.com,44:42.5,44:42.5,"877 Pine St, City, Country",11:00-15:00,Success,Low,Cloudy
1158,C096,customerC096@gmail.com,44:42.5,44:42.5,"628 Elm St, City, Country",20:00-23:00,Success,Low,Cloudy
1159,C052,customerC052@gmail.com,44:42.5,44:42.5,"315 Oak St, City, Country",9:00-11:00,Success,High,Sunny
1160,C096,customerC096@gmail.com,44:42.5,44:42.5,"41 Main St, City, Country",6:00-9:00,Success,Medium,Sunny
1161,C004,customerC004@gmail.com,44:42.5,44:42.5,"901 Elm St, City, Country",21:00-23:00,Failed,Medium,Sunny
1162,C094,customerC094@gmail.com,44:42.5,44:42.5,"193 Main St, City, Country",21:00-25:00,Success,Low,Rainy
1163,C023,customerC023@gmail.com,44:42.5,44:42.5,"278 Elm St, City, Country",16:00-18:00,Success,Low,Sunny
1164,C015,customerC015@gmail.com,44:42.5,44:42.5,"749 Main St, City, Country",10:00-12:00,Success,Low,Cloudy
1165,C043,customerC043@gmail.com,44:42.5,44:42.5,"733 Pine St, City, Country",4:00-8:00,Success,Medium,Sunny
1166,C029,customerC029@gmail.com,44:42.5,44:42.5,"709 Oak St, City, Country",11:00-15:00,Success,Medium,Rainy
1167,C036,customerC036@gmail.com,44:42.5,44:42.5,"824 Oak St, City, Country",13:00-15:00,Success,Low,Cloudy
1168,C013,customerC013@gmail.com,44:42.5,44:42.5,"661 Oak St, City, Country",9:00-12:00,Success,Low,Cloudy
1169,C032,customerC032@gmail.com,44:42.5,44:42.5,"588 Elm St, City, Country",4:00-6:00,Success,Low,Sunny
